제목,태그,조회수,영상길이,날짜, 댓글수 , 좋아요수 
게임을 너무 잘해서 올리는 영상 (에이펙스 레전드),에이펙스 레전드/apex legend/ 에이펙스 레전드/ apex/apex/게임,68642,10:05,2019-10-14,140,"1,066"
한조로 인성질 할 생각에 완전 신났죠? ㅋㅋㅋㅋㅋ,오버워치/한조/hanzo/한조 오버워치/한조 인성질/오버워치 인성질/오버워치 한조/ 한조,122620,11:01,2019-10-12,344,"2,103"
겐지를 개사기였던 시절로 돌려봤습니다.,오버워치/Overwatch/오버워치 겐지/겐지/ 겐지/겐지 장인/genji/겐지 겐지 1시즌/옛날겐지,440581,10:32,2019-10-10,755,"4,327"
이거 당하면 입에서 쌍욕 바로나옴 ㅋㅋㅋㅋㅋ (레식),레식/레인보우식스 시즈/ 레식/레인보우삭스/고요/마에스트로/레인보우식스 시즈 고요/레인보우식스 시즈 마에스트로/레식 고요/레식 마에스트로,116815,10:59,2019-10-09,166,"1,662"
"스트리머 6명중에 2명이 괴물임, 근데 한명이 진짜로 울었어",디시트/양아지/스트리머/합방/ 합방/ 스트리머/ 양아지/삐부/꽃핀,199636,13:10,2019-10-07,277,"2,998"
유튜버가 치킨을 사먹고 싶을 때 (오버워치),오버워치/오버워치  오버워치/ 미션/ 유튜브/유튜버,141390,10:14,2019-10-06,200,"2,095"
학교에서 유튜브 관리하다가 들킨 썰, 학교/학교/양아지/ 양아지/트위치/트위치 라디오/라디오,109782,10:43,2019-10-04,292,"2,416"
한국인 캐릭터가 나왔는데…. 개사기네?,에이펙스 레전드/에이펙스 레전드 시즌3/에이펙스/ 에이펙스/apexlegends/에이펙스 레전드 한국인/한국인/에이펙스 한국인,190905,10:55,2019-10-02,380,"1,912"
김규식이랑 양아지 군기 좀 잡아야겠다,월탱/월드 오브 탱크/김규식/양아지/ 양아지/김규식 양아지/ 김규식,72033,10:01,2019-10-01,161,"1,188"
오버워치에 어벤저스 토르가 구현된다면? ㅋㅋㅋㅋㅋ,오버워치/오버워치 토르데스매치/토르/오버워치 토르/오버워치 마블/오버워치 토르비욘/토르비욘/ 워크샵/ 토르,95872,7:17,2019-09-29,235,"1,512"
해킹당하면 폭탄으로 변하는 오버워치 ㅋㅋㅋㅋ,오버워치/오버워치  워크샵/오버워치  워크샵/ 오버워치/Overwatch/폭탄 솜브라/오버워치 솜브라/오버워치 폭탄 솜브라/오버워치 데스매치,268315,10:52,2019-09-27,263,"3,114"
양아지와 양육권 논란이 있었습니다.,보더랜드3/양아지/양아지  양육권/양아지 양육권/보더랜드,50201,10:01,2019-09-26,96,911
오버워치에 반동과 낙뎀이 있다면?ㅋㅋㅋ【옵치 현실모드】,오버워치/Overwatch/오버워치 오버워치 현실모드/ 오버워치/ Overwatch,223332,7:55,2019-09-25,314,"2,450"
