제목,태그,조회수,영상길이,날짜, 댓글수 , 좋아요수 
외국인 박장대소 시킴 ㅋㅋㅋㅋㅋ,에이펙스레전드/에이펙스/Apex/Apexlegends/외국인/랜쿼드/에이펙스외국인/에이펙스외국,164451,11:19,2019-05-11,183,"2,058"
오버워치 얼음땡 왜이렇게 재밌지 ㅋㅋㅋㅋㅋㅋ,레식/오버워치/오버워치얼음땡/얼음땡/오버워치워크샵/워크샵/오버워치/overwatch,408184,10:43,2019-05-09,263,"3,275"
와 이건 꼭 사야하는데 진짜로 정말로 진짜진짜,트위치/머그컵/굿즈,29884,4:41,2019-05-08,249,978
오버워치 뒷풀이에서 150만원 내기함 ㅋㅋㅋ,오버워치/김재원/머독/꽃핀/OVERWATCH/오버워치/합방,88262,16:34,2019-05-06,201,"1,477"
오버워치에서 '표창없는 겐지' 도전해봤습니다.,겐지/오버워치겐지/표창없는겐지/오버워치/OverWatch/겐지,279323,10:20,2019-05-03,639,"2,867"
어벤져스 : 엔드게임이 게임으로 벌써 나왔음 ㅋㅋㅋㅋㅋ,어벤져스/어벤져스엔드게임/어벤져스게임/타노스/어벤져스엔드게임명장면/엔드게임/엔드게임전투씬/포트나이트/포트나이트/어벤져스엔드게임,230621,7:26,2019-05-02,343,"2,050"
"오버워치 하다가 친구랑 맞짱가능 ㅋㅋ ""루시우 레이싱""",오버워치/오버워치루시우레이싱/루시우레이싱/오버워치워크샵/워크샵/오버워치/Overwatch,287008,12:35,2019-05-01,388,"2,421"
썸네일 낚시 아닙니다. 사실입니다. 진짜입니다.,레식/레인보우식스시즈/레식/레인보우식스시즈,113893,10:36,2019-04-29,168,"1,460"
오버워치에 배그모드가 나왔습니다. 대박 ㅋㅋㅋㅋ,레식/오버워치/오버워치워크샵/워크샵에임핵/오버워치워크샵배그/배그/오버워치배그/오버워치,920578,10:43,2019-04-26,704,"5,448"
오버워치 인성질을 가르쳐보았다 ㅋㅋㅋ(w.양아지),오버워치/인성질/오버워치인성질/양아지오버워치/양아지인성질/인성질/양아지/양아지오버워치/트위치/양아지/합방,149149,10:39,2019-04-23,456,"2,428"
